locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMADFCGA_00093	CDS	1098				hypothetical protein
AMADFCGA_00094	CDS	972				hypothetical protein
AMADFCGA_00095	CDS	822				hypothetical protein
AMADFCGA_00096	CDS	1032				hypothetical protein
AMADFCGA_00097	CDS	711				hypothetical protein
AMADFCGA_00098	CDS	1359	csbX		COG0477	Alpha-ketoglutarate permease
AMADFCGA_00099	CDS	105				hypothetical protein
AMADFCGA_00100	CDS	447				hypothetical protein
AMADFCGA_00101	CDS	222				hypothetical protein
AMADFCGA_00102	CDS	1644				hypothetical protein
AMADFCGA_00103	CDS	558				hypothetical protein
AMADFCGA_00104	CDS	921				hypothetical protein
AMADFCGA_00105	CDS	1155				hypothetical protein
AMADFCGA_00106	CDS	765				hypothetical protein
AMADFCGA_00107	CDS	771				hypothetical protein
AMADFCGA_00108	CDS	366				hypothetical protein
AMADFCGA_00109	CDS	300				hypothetical protein
AMADFCGA_00110	CDS	891				hypothetical protein
AMADFCGA_00111	CDS	888	auaH	1.1.1.394		Aurachin B dehydrogenase
AMADFCGA_00112	CDS	822				hypothetical protein
AMADFCGA_00113	CDS	675	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
AMADFCGA_00114	CDS	249				hypothetical protein
AMADFCGA_00115	CDS	471	decR_1		COG1522	DNA-binding transcriptional activator DecR
AMADFCGA_00116	CDS	1155	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
AMADFCGA_00117	CDS	825				hypothetical protein
AMADFCGA_00118	CDS	708	tolQ_1		COG0811	Tol-Pal system protein TolQ
AMADFCGA_00119	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
AMADFCGA_00120	CDS	2826	btuB_1			Vitamin B12 transporter BtuB
AMADFCGA_00121	CDS	1884	appA_1			Oligopeptide-binding protein AppA
AMADFCGA_00122	CDS	1068	yejB_1		COG4174	Inner membrane ABC transporter permease protein YejB
AMADFCGA_00123	CDS	1023	yejE_1		COG4239	Inner membrane ABC transporter permease protein YejE
AMADFCGA_00124	CDS	1584	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
AMADFCGA_00125	CDS	1497				hypothetical protein
AMADFCGA_00126	CDS	489	lrp_1		COG1522	Leucine-responsive regulatory protein
AMADFCGA_00127	CDS	675				hypothetical protein
AMADFCGA_00128	CDS	1305	gabT_1	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
AMADFCGA_00129	CDS	930	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
AMADFCGA_00130	CDS	1458	davD_2	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
AMADFCGA_00131	CDS	1158	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
AMADFCGA_00132	CDS	1170	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
AMADFCGA_00133	CDS	1410	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
AMADFCGA_00134	CDS	312				hypothetical protein
AMADFCGA_00135	CDS	1842	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
AMADFCGA_00136	CDS	879	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
AMADFCGA_00137	CDS	957	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
AMADFCGA_00138	CDS	1638	gsiB_1		COG0747	Glutathione-binding protein GsiB
AMADFCGA_00139	CDS	1275	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
AMADFCGA_00140	CDS	669				hypothetical protein
AMADFCGA_00141	CDS	285				hypothetical protein
AMADFCGA_00142	CDS	681				hypothetical protein
AMADFCGA_00143	CDS	255	imm_1			Colicin-E9 immunity protein
AMADFCGA_00144	CDS	636				hypothetical protein
AMADFCGA_00145	CDS	858				hypothetical protein
AMADFCGA_00146	CDS	714				hypothetical protein
AMADFCGA_00147	CDS	708				hypothetical protein
AMADFCGA_00148	CDS	504				hypothetical protein
AMADFCGA_00149	CDS	1548	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
AMADFCGA_00150	CDS	903	hslO		COG1281	33 kDa chaperonin
AMADFCGA_00151	CDS	408	hslR		COG1188	Heat shock protein 15
AMADFCGA_00152	CDS	783	bluF			Blue light- and temperature-regulated antirepressor BluF
AMADFCGA_00153	CDS	477				hypothetical protein
AMADFCGA_00154	CDS	906	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
AMADFCGA_00155	CDS	1332	gltP		COG1301	Proton/glutamate-aspartate symporter
AMADFCGA_00156	CDS	666		2.5.1.18		Glutathione S-transferase
AMADFCGA_00157	CDS	276				hypothetical protein
AMADFCGA_00158	CDS	249				hypothetical protein
AMADFCGA_00159	CDS	2847	cyaA	4.6.1.1	COG3072	Adenylate cyclase
AMADFCGA_00160	CDS	408	rnk		COG0782	Regulator of nucleoside diphosphate kinase
AMADFCGA_00161	CDS	237				hypothetical protein
AMADFCGA_00162	CDS	333	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
AMADFCGA_00163	CDS	147	lppL		COG5567	Lipopeptide
AMADFCGA_00164	CDS	1248	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
AMADFCGA_00165	CDS	831	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
AMADFCGA_00166	CDS	735				hypothetical protein
AMADFCGA_00167	CDS	900	xerC_1		COG4973	Tyrosine recombinase XerC
AMADFCGA_00168	CDS	693	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
AMADFCGA_00169	CDS	327	sutA			Transcriptional regulator SutA
AMADFCGA_00170	CDS	453				hypothetical protein
AMADFCGA_00171	CDS	1338	amtB_1			Ammonia channel
AMADFCGA_00172	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
AMADFCGA_00173	CDS	267	ubiK			Ubiquinone biosynthesis accessory factor UbiK
AMADFCGA_00174	CDS	882	hdfR_1			HTH-type transcriptional regulator HdfR
AMADFCGA_00175	CDS	1257				putative MFS-type transporter
AMADFCGA_00176	CDS	408	hacA	4.2.1.36	COG0065	Homoaconitase large subunit
AMADFCGA_00177	CDS	915				hypothetical protein
AMADFCGA_00178	CDS	1521	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AMADFCGA_00179	CDS	873				hypothetical protein
AMADFCGA_00180	CDS	834	fliY_1		COG0834	L-cystine-binding protein FliY
AMADFCGA_00181	CDS	732	novR	4.1.-.-		Decarboxylase NovR
AMADFCGA_00182	CDS	1296				hypothetical protein
AMADFCGA_00183	CDS	417	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
AMADFCGA_00184	CDS	678				hypothetical protein
AMADFCGA_00185	CDS	1155	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
AMADFCGA_00186	CDS	618				hypothetical protein
AMADFCGA_00187	CDS	918	pchR		COG2207	Regulatory protein PchR
AMADFCGA_00188	CDS	735		1.-.-.-		putative oxidoreductase
AMADFCGA_00189	CDS	744				hypothetical protein
AMADFCGA_00190	CDS	3381				hypothetical protein
AMADFCGA_00191	CDS	1494	comM		COG0606	Competence protein ComM
AMADFCGA_00192	CDS	1308	citN_1		COG2851	Citrate transporter
AMADFCGA_00193	CDS	402				hypothetical protein
AMADFCGA_00194	CDS	1398				hypothetical protein
AMADFCGA_00195	CDS	2076	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
AMADFCGA_00196	CDS	924	oxyR_1			Hydrogen peroxide-inducible genes activator
AMADFCGA_00197	CDS	747				hypothetical protein
AMADFCGA_00198	CDS	426	exbD_2		COG0848	Biopolymer transport protein ExbD
AMADFCGA_00199	CDS	954	tolQ_2			Tol-Pal system protein TolQ
AMADFCGA_00200	CDS	849				hypothetical protein
AMADFCGA_00201	CDS	738				hypothetical protein
AMADFCGA_00202	CDS	381	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
AMADFCGA_00203	CDS	2106	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
AMADFCGA_00204	CDS	264	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
AMADFCGA_00205	CDS	645	gmk	2.7.4.8	COG0194	Guanylate kinase
AMADFCGA_00206	CDS	864				hypothetical protein
AMADFCGA_00207	CDS	789	rph	2.7.7.56	COG0689	Ribonuclease PH
AMADFCGA_00208	CDS	369				hypothetical protein
AMADFCGA_00209	CDS	780	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
AMADFCGA_00210	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
AMADFCGA_00211	CDS	633				hypothetical protein
AMADFCGA_00212	CDS	906	argB	2.7.2.8	COG0548	Acetylglutamate kinase
AMADFCGA_00213	CDS	2586	glmM_1			Phosphoglucosamine mutase
AMADFCGA_00214	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
AMADFCGA_00215	CDS	1248	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
AMADFCGA_00216	CDS	675				hypothetical protein
AMADFCGA_00217	CDS	1587	dppA_1		COG0747	Periplasmic dipeptide transport protein
AMADFCGA_00218	CDS	234	rpmB		COG0227	50S ribosomal protein L28
AMADFCGA_00219	CDS	156	rpmG		COG0267	50S ribosomal protein L33
AMADFCGA_00220	CDS	369				hypothetical protein
AMADFCGA_00221	CDS	1494	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
AMADFCGA_00222	CDS	1149	ycaD_1			putative MFS-type transporter YcaD
AMADFCGA_00223	CDS	1485	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
AMADFCGA_00224	CDS	1422	norG_1		COG1167	HTH-type transcriptional regulator NorG
AMADFCGA_00225	CDS	252				hypothetical protein
AMADFCGA_00226	CDS	1314	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
AMADFCGA_00227	CDS	354				hypothetical protein
AMADFCGA_00228	CDS	489	lrp_2		COG1522	Leucine-responsive regulatory protein
AMADFCGA_00229	CDS	1302	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
AMADFCGA_00230	CDS	354	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
AMADFCGA_00231	CDS	1074	alr	5.1.1.1		Alanine racemase
AMADFCGA_00232	CDS	600	puuR_1			HTH-type transcriptional regulator PuuR
AMADFCGA_00233	CDS	324			COG3245	Cytochrome c5
AMADFCGA_00234	CDS	1932		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
AMADFCGA_00235	CDS	525				hypothetical protein
AMADFCGA_00236	CDS	711				hypothetical protein
AMADFCGA_00237	CDS	1002			COG1840	putative binding protein component of ABC iron transporter
AMADFCGA_00238	CDS	1617				hypothetical protein
AMADFCGA_00239	CDS	1083	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
AMADFCGA_00240	CDS	387	gcvH_1		COG0509	Glycine cleavage system H protein
AMADFCGA_00241	CDS	321				hypothetical protein
AMADFCGA_00242	CDS	1785				hypothetical protein
AMADFCGA_00243	CDS	348				hypothetical protein
AMADFCGA_00244	CDS	471	decR_2		COG1522	DNA-binding transcriptional activator DecR
AMADFCGA_00245	CDS	1368				hypothetical protein
AMADFCGA_00246	CDS	1149	argE_3	3.5.1.16		Acetylornithine deacetylase
AMADFCGA_00247	CDS	1299	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
AMADFCGA_00248	CDS	684				hypothetical protein
AMADFCGA_00249	CDS	1593	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
AMADFCGA_00250	CDS	384	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
AMADFCGA_00251	CDS	2319	yhgF		COG2183	Protein YhgF
AMADFCGA_00252	CDS	741	ompR_1			Transcriptional regulatory protein OmpR
AMADFCGA_00253	CDS	1311	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
AMADFCGA_00254	CDS	468	ivy			Inhibitor of vertebrate lysozyme
AMADFCGA_00255	CDS	165				hypothetical protein
AMADFCGA_00256	CDS	288				hypothetical protein
AMADFCGA_00257	CDS	840				hypothetical protein
AMADFCGA_00258	CDS	1347	algB		COG2204	Alginate biosynthesis transcriptional regulatory protein AlgB
AMADFCGA_00259	CDS	1776	kinB	2.7.13.3	COG5000	Alginate biosynthesis sensor protein KinB
AMADFCGA_00260	CDS	780	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
AMADFCGA_00261	CDS	2073				hypothetical protein
AMADFCGA_00262	CDS	876				hypothetical protein
AMADFCGA_00263	CDS	645	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
AMADFCGA_00264	CDS	636	engB		COG0218	putative GTP-binding protein EngB
AMADFCGA_00265	CDS	2766	polA	2.7.7.7	COG0258	DNA polymerase I
AMADFCGA_00266	CDS	288				hypothetical protein
AMADFCGA_00267	CDS	951	thrB_1	2.7.1.39	COG2334	Homoserine kinase
AMADFCGA_00268	CDS	540				IS3 family transposase ISPsy9
AMADFCGA_00269	CDS	837				IS3 family transposase ISPsy9
AMADFCGA_00270	CDS	942	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
AMADFCGA_00271	CDS	483	zur		COG0735	Zinc uptake regulation protein
AMADFCGA_00272	CDS	786	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
AMADFCGA_00273	CDS	789	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
AMADFCGA_00274	CDS	717				hypothetical protein
AMADFCGA_00275	CDS	2151	katE	1.11.1.6	COG0753	Catalase HPII
AMADFCGA_00276	CDS	1008	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AMADFCGA_00277	CDS	675	metP		COG2011	Methionine import system permease protein MetP
AMADFCGA_00278	CDS	774			COG1464	Membrane lipoprotein TpN32
AMADFCGA_00279	CDS	633				hypothetical protein
AMADFCGA_00280	CDS	495	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
AMADFCGA_00281	CDS	651				hypothetical protein
AMADFCGA_00282	CDS	1533				hypothetical protein
AMADFCGA_00283	CDS	741	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
AMADFCGA_00284	CDS	1065				hypothetical protein
AMADFCGA_00285	CDS	669	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
AMADFCGA_00286	CDS	663				hypothetical protein
AMADFCGA_00287	CDS	1011	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
AMADFCGA_00288	CDS	2211	ppk	2.7.4.1		Polyphosphate kinase
AMADFCGA_00289	CDS	1503	ppx	3.6.1.11	COG0248	Exopolyphosphatase
AMADFCGA_00290	CDS	735	glnQ_1			Glutamine transport ATP-binding protein GlnQ
AMADFCGA_00291	CDS	648	yecS_1		COG0765	L-cystine transport system permease protein YecS
AMADFCGA_00292	CDS	666	yecS_2		COG0765	L-cystine transport system permease protein YecS
AMADFCGA_00293	CDS	786	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
AMADFCGA_00294	CDS	705	nanR_1			HTH-type transcriptional repressor NanR
AMADFCGA_00295	CDS	330	trxA		COG0526	Thioredoxin 1
AMADFCGA_00296	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
AMADFCGA_00297	CDS	1467	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
AMADFCGA_00298	CDS	969	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
AMADFCGA_00299	CDS	663				hypothetical protein
AMADFCGA_00300	CDS	1350	glpT		COG2271	Glycerol-3-phosphate transporter
AMADFCGA_00301	CDS	666				hypothetical protein
AMADFCGA_00302	CDS	294				hypothetical protein
AMADFCGA_00303	CDS	258				hypothetical protein
AMADFCGA_00304	CDS	738				hypothetical protein
AMADFCGA_00305	CDS	270	imm_2			Colicin-E7 immunity protein
AMADFCGA_00306	CDS	273	imm_3			Colicin-E7 immunity protein
AMADFCGA_00307	CDS	270	imm_4			Colicin-E7 immunity protein
AMADFCGA_00308	CDS	1899				hypothetical protein
AMADFCGA_00309	CDS	1023	qorA_2	1.6.5.5	COG0604	Quinone oxidoreductase 1
AMADFCGA_00310	CDS	408				hypothetical protein
AMADFCGA_00311	CDS	450				hypothetical protein
AMADFCGA_00312	CDS	153				hypothetical protein
AMADFCGA_00313	CDS	612	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
AMADFCGA_00314	CDS	330	zapA		COG3027	Cell division protein ZapA
AMADFCGA_00315	CDS	210				hypothetical protein
AMADFCGA_00316	CDS	555				hypothetical protein
AMADFCGA_00317	CDS	1335	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
AMADFCGA_00318	CDS	1188	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
AMADFCGA_00319	CDS	1191	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
AMADFCGA_00320	CDS	993	virS			HTH-type transcriptional regulator VirS
AMADFCGA_00321	CDS	1311	exuT_1			Hexuronate transporter
AMADFCGA_00322	CDS	582				hypothetical protein
AMADFCGA_00323	CDS	951	sfnR_1		COG1221	Sigma54-dependent transcriptional activator SfnR
AMADFCGA_00324	CDS	789	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
AMADFCGA_00325	CDS	1227				hypothetical protein
AMADFCGA_00326	CDS	3069				hypothetical protein
AMADFCGA_00327	CDS	897	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
AMADFCGA_00328	CDS	882	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
AMADFCGA_00329	CDS	867				hypothetical protein
AMADFCGA_00330	CDS	1020				hypothetical protein
AMADFCGA_00331	CDS	219				hypothetical protein
AMADFCGA_00332	CDS	1011				hypothetical protein
AMADFCGA_00333	CDS	1104				hypothetical protein
AMADFCGA_00334	CDS	1101				hypothetical protein
AMADFCGA_00335	CDS	456				hypothetical protein
AMADFCGA_00336	CDS	444				hypothetical protein
AMADFCGA_00337	CDS	1119	mdtE_1			Multidrug resistance protein MdtE
AMADFCGA_00338	CDS	1086	mdtE_2			Multidrug resistance protein MdtE
AMADFCGA_00339	CDS	3102	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
AMADFCGA_00340	CDS	519				hypothetical protein
AMADFCGA_00341	CDS	627	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
AMADFCGA_00342	CDS	645	metI		COG2011	D-methionine transport system permease protein MetI
AMADFCGA_00343	CDS	1131	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AMADFCGA_00344	CDS	789	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
AMADFCGA_00345	CDS	1026				hypothetical protein
AMADFCGA_00346	CDS	1359	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
AMADFCGA_00347	CDS	1206	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
AMADFCGA_00348	CDS	1323	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
AMADFCGA_00349	CDS	720				hypothetical protein
AMADFCGA_00350	CDS	744	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
AMADFCGA_00351	CDS	669	yecS_3		COG0765	L-cystine transport system permease protein YecS
AMADFCGA_00352	CDS	798	fliY_2		COG0834	L-cystine-binding protein FliY
AMADFCGA_00353	CDS	999	dcyD_1	4.4.1.15	COG2515	D-cysteine desulfhydrase
AMADFCGA_00354	CDS	954				hypothetical protein
AMADFCGA_00355	CDS	708				hypothetical protein
AMADFCGA_00356	CDS	567	sigK		COG1595	ECF RNA polymerase sigma factor SigK
AMADFCGA_00357	CDS	534				hypothetical protein
AMADFCGA_00358	CDS	1176	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
AMADFCGA_00359	CDS	597	ves			Protein Ves
AMADFCGA_00360	CDS	822				hypothetical protein
AMADFCGA_00361	CDS	1365		3.5.4.32	COG0402	8-oxoguanine deaminase
AMADFCGA_00362	CDS	543	blc		COG3040	Outer membrane lipoprotein Blc
AMADFCGA_00363	CDS	255				hypothetical protein
AMADFCGA_00364	CDS	1011	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
AMADFCGA_00365	CDS	1350				hypothetical protein
AMADFCGA_00366	CDS	2814				hypothetical protein
AMADFCGA_00367	CDS	2451	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
