locus_tag	ftype	length_bp	gene	EC_number	COG	product
INPMIPDD_00040	CDS	681	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
INPMIPDD_00041	CDS	249				hypothetical protein
INPMIPDD_00042	CDS	357				hypothetical protein
INPMIPDD_00043	CDS	441				hypothetical protein
INPMIPDD_00044	CDS	366				hypothetical protein
INPMIPDD_00045	CDS	300				hypothetical protein
INPMIPDD_00046	CDS	888	auaH_1	1.1.1.394		Aurachin B dehydrogenase
INPMIPDD_00047	CDS	822				hypothetical protein
INPMIPDD_00048	CDS	675	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
INPMIPDD_00049	CDS	1137				hypothetical protein
INPMIPDD_00050	CDS	249				hypothetical protein
INPMIPDD_00051	CDS	471	decR_1		COG1522	DNA-binding transcriptional activator DecR
INPMIPDD_00052	CDS	1155	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
INPMIPDD_00053	CDS	834				hypothetical protein
INPMIPDD_00054	CDS	708	tolQ_1		COG0811	Tol-Pal system protein TolQ
INPMIPDD_00055	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
INPMIPDD_00056	CDS	2826	btuB_1			Vitamin B12 transporter BtuB
INPMIPDD_00057	CDS	1884	appA_1			Oligopeptide-binding protein AppA
INPMIPDD_00058	CDS	1068	yejB_1		COG4174	Inner membrane ABC transporter permease protein YejB
INPMIPDD_00059	CDS	1023	yejE_1		COG4239	Inner membrane ABC transporter permease protein YejE
INPMIPDD_00060	CDS	1584	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
INPMIPDD_00061	CDS	1497				hypothetical protein
INPMIPDD_00062	CDS	1503	ppx	3.6.1.11	COG0248	Exopolyphosphatase
INPMIPDD_00063	CDS	2211	ppk	2.7.4.1		Polyphosphate kinase
INPMIPDD_00064	CDS	1011	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
INPMIPDD_00065	CDS	663				hypothetical protein
INPMIPDD_00066	CDS	669	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
INPMIPDD_00067	CDS	1059				hypothetical protein
INPMIPDD_00068	CDS	741	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
INPMIPDD_00069	CDS	1533				hypothetical protein
INPMIPDD_00070	CDS	651				hypothetical protein
INPMIPDD_00071	CDS	495	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
INPMIPDD_00072	CDS	633				hypothetical protein
INPMIPDD_00073	CDS	900				hypothetical protein
INPMIPDD_00074	CDS	783			COG1464	Membrane lipoprotein TpN32
INPMIPDD_00075	CDS	675	metP		COG2011	Methionine import system permease protein MetP
INPMIPDD_00076	CDS	1008	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
INPMIPDD_00077	CDS	2151	katE	1.11.1.6	COG0753	Catalase HPII
INPMIPDD_00078	CDS	717				hypothetical protein
INPMIPDD_00079	CDS	789	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
INPMIPDD_00080	CDS	786	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
INPMIPDD_00081	CDS	483	zur		COG0735	Zinc uptake regulation protein
INPMIPDD_00082	CDS	864	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
INPMIPDD_00083	CDS	951	thrB_1	2.7.1.39	COG2334	Homoserine kinase
INPMIPDD_00084	CDS	288				hypothetical protein
INPMIPDD_00085	CDS	2766	polA	2.7.7.7	COG0258	DNA polymerase I
INPMIPDD_00086	CDS	636	engB		COG0218	putative GTP-binding protein EngB
INPMIPDD_00087	CDS	645	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
INPMIPDD_00088	CDS	876				hypothetical protein
INPMIPDD_00089	CDS	2070				hypothetical protein
INPMIPDD_00090	CDS	780	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
INPMIPDD_00091	CDS	1788	kinB	2.7.13.3	COG5000	Alginate biosynthesis sensor protein KinB
INPMIPDD_00092	CDS	1347	algB		COG2204	Alginate biosynthesis transcriptional regulatory protein AlgB
INPMIPDD_00093	CDS	840				hypothetical protein
INPMIPDD_00094	CDS	288				hypothetical protein
INPMIPDD_00095	CDS	165				hypothetical protein
INPMIPDD_00096	CDS	468	ivy			Inhibitor of vertebrate lysozyme
INPMIPDD_00097	CDS	1311	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
INPMIPDD_00098	CDS	741	ompR_1			Transcriptional regulatory protein OmpR
INPMIPDD_00099	CDS	2319	yhgF		COG2183	Protein YhgF
INPMIPDD_00100	CDS	384	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
INPMIPDD_00101	CDS	1593	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
INPMIPDD_00102	CDS	1299	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
INPMIPDD_00103	CDS	1149	argE_1	3.5.1.16		Acetylornithine deacetylase
INPMIPDD_00104	CDS	1368				hypothetical protein
INPMIPDD_00105	CDS	471	decR_2		COG1522	DNA-binding transcriptional activator DecR
INPMIPDD_00106	CDS	348				hypothetical protein
INPMIPDD_00107	CDS	1785				hypothetical protein
INPMIPDD_00108	CDS	321				hypothetical protein
INPMIPDD_00109	CDS	387	gcvH_1		COG0509	Glycine cleavage system H protein
INPMIPDD_00110	CDS	1083	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
INPMIPDD_00111	CDS	1617				hypothetical protein
INPMIPDD_00112	CDS	1002			COG1840	putative binding protein component of ABC iron transporter
INPMIPDD_00113	CDS	711				hypothetical protein
INPMIPDD_00114	CDS	525				hypothetical protein
INPMIPDD_00115	CDS	1932		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
INPMIPDD_00116	CDS	324			COG3245	Cytochrome c5
INPMIPDD_00117	CDS	600	puuR_1			HTH-type transcriptional regulator PuuR
INPMIPDD_00118	CDS	1074	alr	5.1.1.1		Alanine racemase
INPMIPDD_00119	CDS	354	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
INPMIPDD_00120	CDS	1302	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
INPMIPDD_00121	CDS	489	lrp_1		COG1522	Leucine-responsive regulatory protein
INPMIPDD_00122	CDS	354				hypothetical protein
INPMIPDD_00123	CDS	1314	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
INPMIPDD_00124	CDS	252				hypothetical protein
INPMIPDD_00125	CDS	1422	norG_1		COG1167	HTH-type transcriptional regulator NorG
INPMIPDD_00126	CDS	1485	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
INPMIPDD_00127	CDS	1149	ycaD_1			putative MFS-type transporter YcaD
INPMIPDD_00128	CDS	1494	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
INPMIPDD_00129	CDS	369				hypothetical protein
INPMIPDD_00130	CDS	156	rpmG		COG0267	50S ribosomal protein L33
INPMIPDD_00131	CDS	234	rpmB		COG0227	50S ribosomal protein L28
INPMIPDD_00132	CDS	1587	dppA_1		COG0747	Periplasmic dipeptide transport protein
INPMIPDD_00133	CDS	675				hypothetical protein
INPMIPDD_00134	CDS	1248	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
INPMIPDD_00135	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
INPMIPDD_00136	CDS	2586	glmM_1			Phosphoglucosamine mutase
INPMIPDD_00137	CDS	906	argB	2.7.2.8	COG0548	Acetylglutamate kinase
INPMIPDD_00138	CDS	633				hypothetical protein
INPMIPDD_00139	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
INPMIPDD_00140	CDS	780	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
INPMIPDD_00141	CDS	369				hypothetical protein
INPMIPDD_00142	CDS	723	rph	2.7.7.56	COG0689	Ribonuclease PH
INPMIPDD_00143	CDS	864				hypothetical protein
INPMIPDD_00144	CDS	645	gmk	2.7.4.8	COG0194	Guanylate kinase
INPMIPDD_00145	CDS	264	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
INPMIPDD_00146	CDS	2106	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
INPMIPDD_00147	CDS	381	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
INPMIPDD_00148	CDS	738				hypothetical protein
INPMIPDD_00149	CDS	849				hypothetical protein
INPMIPDD_00150	CDS	954	tolQ_2			Tol-Pal system protein TolQ
INPMIPDD_00151	CDS	426	exbD_2		COG0848	Biopolymer transport protein ExbD
INPMIPDD_00152	CDS	747				hypothetical protein
INPMIPDD_00153	CDS	924	oxyR_1			Hydrogen peroxide-inducible genes activator
INPMIPDD_00154	CDS	2076	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
INPMIPDD_00155	CDS	1398				hypothetical protein
INPMIPDD_00156	CDS	1308	citN_1		COG2851	Citrate transporter
INPMIPDD_00157	CDS	465	comM_1		COG0606	Competence protein ComM
INPMIPDD_00158	CDS	987				hypothetical protein
INPMIPDD_00159	CDS	1122	csd	2.8.1.7		putative cysteine desulfurase
INPMIPDD_00160	CDS	1224	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
INPMIPDD_00161	CDS	1305	ddaF	6.3.2.47		Dapdiamide A synthase
INPMIPDD_00162	CDS	1062	ltaA	4.1.2.49		L-allo-threonine aldolase
INPMIPDD_00163	CDS	963	fadM	1.5.5.2		Proline dehydrogenase 1
INPMIPDD_00164	CDS	1095				hypothetical protein
INPMIPDD_00165	CDS	864	comM_2		COG0606	Competence protein ComM
INPMIPDD_00166	CDS	1494	comM_3		COG0606	Competence protein ComM
INPMIPDD_00167	CDS	456				hypothetical protein
INPMIPDD_00168	CDS	1257				putative transporter
INPMIPDD_00169	CDS	297				hypothetical protein
INPMIPDD_00170	CDS	321				hypothetical protein
INPMIPDD_00171	CDS	264				hypothetical protein
INPMIPDD_00172	CDS	1341				hypothetical protein
INPMIPDD_00173	CDS	1332				hypothetical protein
INPMIPDD_00174	CDS	1230				hypothetical protein
INPMIPDD_00175	CDS	897	eamA_1		COG0697	putative amino-acid metabolite efflux pump
INPMIPDD_00176	CDS	1350	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
INPMIPDD_00177	CDS	1182				hypothetical protein
INPMIPDD_00178	CDS	258				hypothetical protein
INPMIPDD_00179	CDS	351				hypothetical protein
INPMIPDD_00180	CDS	543	mshD_1	2.3.1.189		Mycothiol acetyltransferase
INPMIPDD_00181	CDS	735		1.-.-.-		putative oxidoreductase
INPMIPDD_00182	CDS	918	rhaS_1			HTH-type transcriptional activator RhaS
INPMIPDD_00183	CDS	618				hypothetical protein
INPMIPDD_00184	CDS	276	ubiK			Ubiquinone biosynthesis accessory factor UbiK
INPMIPDD_00185	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
INPMIPDD_00186	CDS	1338	amtB			Ammonia channel
INPMIPDD_00187	CDS	453				hypothetical protein
INPMIPDD_00188	CDS	327	sutA			Transcriptional regulator SutA
INPMIPDD_00189	CDS	693	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
INPMIPDD_00190	CDS	900	xerC_1		COG4973	Tyrosine recombinase XerC
INPMIPDD_00191	CDS	735				hypothetical protein
INPMIPDD_00192	CDS	831	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
INPMIPDD_00193	CDS	1248	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
INPMIPDD_00194	CDS	147	lppL		COG5567	Lipopeptide
INPMIPDD_00195	CDS	333	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
INPMIPDD_00196	CDS	237				hypothetical protein
INPMIPDD_00197	CDS	408	rnk		COG0782	Regulator of nucleoside diphosphate kinase
INPMIPDD_00198	CDS	2847	cyaA	4.6.1.1	COG3072	Adenylate cyclase
INPMIPDD_00199	CDS	249				hypothetical protein
INPMIPDD_00200	CDS	276				hypothetical protein
INPMIPDD_00201	CDS	666		2.5.1.18		Glutathione S-transferase
INPMIPDD_00202	CDS	1332	gltP		COG1301	Proton/glutamate-aspartate symporter
INPMIPDD_00203	CDS	906	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
INPMIPDD_00204	CDS	477				hypothetical protein
INPMIPDD_00205	CDS	783	bluF			Blue light- and temperature-regulated antirepressor BluF
INPMIPDD_00206	CDS	408	hslR		COG1188	Heat shock protein 15
INPMIPDD_00207	CDS	903	hslO		COG1281	33 kDa chaperonin
INPMIPDD_00208	CDS	1545	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
INPMIPDD_00209	CDS	516				hypothetical protein
INPMIPDD_00210	CDS	702				hypothetical protein
INPMIPDD_00211	CDS	708				hypothetical protein
INPMIPDD_00212	CDS	708				hypothetical protein
INPMIPDD_00213	CDS	450				hypothetical protein
INPMIPDD_00214	CDS	714				hypothetical protein
INPMIPDD_00215	CDS	858				hypothetical protein
INPMIPDD_00216	CDS	669				hypothetical protein
INPMIPDD_00217	CDS	1296	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
INPMIPDD_00218	CDS	1638	gsiB		COG0747	Glutathione-binding protein GsiB
INPMIPDD_00219	CDS	957	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
INPMIPDD_00220	CDS	879	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
INPMIPDD_00221	CDS	1842	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
INPMIPDD_00222	CDS	312				hypothetical protein
INPMIPDD_00223	CDS	1410	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
INPMIPDD_00224	CDS	1170	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
INPMIPDD_00225	CDS	1158	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
INPMIPDD_00226	CDS	1458	davD_2	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
INPMIPDD_00227	CDS	930	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
INPMIPDD_00228	CDS	1305	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
INPMIPDD_00229	CDS	657				hypothetical protein
INPMIPDD_00230	CDS	489	lrp_2		COG1522	Leucine-responsive regulatory protein
INPMIPDD_00231	CDS	735	glnQ_1			Glutamine transport ATP-binding protein GlnQ
INPMIPDD_00232	CDS	648	yecS_1		COG0765	L-cystine transport system permease protein YecS
INPMIPDD_00233	CDS	666	yecS_2		COG0765	L-cystine transport system permease protein YecS
INPMIPDD_00234	CDS	786	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
INPMIPDD_00235	CDS	705	nanR_1			HTH-type transcriptional repressor NanR
INPMIPDD_00236	CDS	330	trxA		COG0526	Thioredoxin 1
INPMIPDD_00237	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
INPMIPDD_00238	CDS	1467	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
INPMIPDD_00239	CDS	969	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
INPMIPDD_00240	CDS	669	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
INPMIPDD_00241	CDS	1350	glpT		COG2271	Glycerol-3-phosphate transporter
INPMIPDD_00242	CDS	666				hypothetical protein
INPMIPDD_00243	CDS	600				hypothetical protein
INPMIPDD_00244	CDS	171				hypothetical protein
INPMIPDD_00245	CDS	633				IS630 family transposase ISPsy25
INPMIPDD_00246	CDS	456				IS630 family transposase ISPsy25
INPMIPDD_00247	CDS	282				hypothetical protein
INPMIPDD_00248	CDS	987	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
INPMIPDD_00249	CDS	408				hypothetical protein
INPMIPDD_00250	CDS	450				hypothetical protein
INPMIPDD_00251	CDS	153				hypothetical protein
INPMIPDD_00252	CDS	612	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
INPMIPDD_00253	CDS	330	zapA		COG3027	Cell division protein ZapA
INPMIPDD_00254	CDS	210				hypothetical protein
INPMIPDD_00255	CDS	555				hypothetical protein
INPMIPDD_00256	CDS	1335	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
INPMIPDD_00257	CDS	1188	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
INPMIPDD_00258	CDS	1191	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
INPMIPDD_00259	CDS	993	virS			HTH-type transcriptional regulator VirS
INPMIPDD_00260	CDS	1311	exuT_1			Hexuronate transporter
INPMIPDD_00261	CDS	582				hypothetical protein
INPMIPDD_00262	CDS	951	sfnR_1		COG1221	Sigma54-dependent transcriptional activator SfnR
INPMIPDD_00263	CDS	783	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
INPMIPDD_00264	CDS	1254				hypothetical protein
INPMIPDD_00265	CDS	1227				hypothetical protein
INPMIPDD_00266	CDS	3069				hypothetical protein
INPMIPDD_00267	CDS	897	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
INPMIPDD_00268	CDS	882	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
INPMIPDD_00269	CDS	867				hypothetical protein
INPMIPDD_00270	CDS	1020				hypothetical protein
INPMIPDD_00271	CDS	219				hypothetical protein
INPMIPDD_00272	CDS	948				hypothetical protein
INPMIPDD_00273	CDS	1059				hypothetical protein
INPMIPDD_00274	CDS	303				hypothetical protein
INPMIPDD_00275	CDS	174				hypothetical protein
INPMIPDD_00276	CDS	1119	mdtE			Multidrug resistance protein MdtE
INPMIPDD_00277	CDS	1086	mdtA_1			Multidrug resistance protein MdtA
INPMIPDD_00278	CDS	3102	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
INPMIPDD_00279	CDS	810				IS3 family transposase ISPsy9
INPMIPDD_00280	CDS	540				IS3 family transposase ISPsy9
INPMIPDD_00281	CDS	624	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
INPMIPDD_00282	CDS	645	metI		COG2011	D-methionine transport system permease protein MetI
INPMIPDD_00283	CDS	1131	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
INPMIPDD_00284	CDS	789	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
INPMIPDD_00285	CDS	1359	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
INPMIPDD_00286	CDS	1206	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
INPMIPDD_00287	CDS	1323	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
INPMIPDD_00288	CDS	720				hypothetical protein
INPMIPDD_00289	CDS	744	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
INPMIPDD_00290	CDS	669	yecS_3		COG0765	L-cystine transport system permease protein YecS
INPMIPDD_00291	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
INPMIPDD_00292	CDS	999	dcyD_1	4.4.1.15	COG2515	D-cysteine desulfhydrase
INPMIPDD_00293	CDS	954				hypothetical protein
INPMIPDD_00294	CDS	708				hypothetical protein
INPMIPDD_00295	CDS	567	sigK		COG1595	ECF RNA polymerase sigma factor SigK
INPMIPDD_00296	CDS	534				hypothetical protein
INPMIPDD_00297	CDS	1176	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
INPMIPDD_00298	CDS	597	ves			Protein Ves
INPMIPDD_00299	CDS	822				hypothetical protein
INPMIPDD_00300	CDS	1365		3.5.4.32	COG0402	8-oxoguanine deaminase
INPMIPDD_00301	CDS	543	blc		COG3040	Outer membrane lipoprotein Blc
INPMIPDD_00302	CDS	255				hypothetical protein
INPMIPDD_00303	CDS	1011	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
INPMIPDD_00304	CDS	1350				hypothetical protein
INPMIPDD_00305	CDS	2814				hypothetical protein
INPMIPDD_00306	CDS	2451	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
INPMIPDD_00307	CDS	972	pip	3.4.11.5		Proline iminopeptidase
INPMIPDD_00308	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
INPMIPDD_00309	CDS	1944	mdoG			Glucans biosynthesis protein G
INPMIPDD_00310	CDS	2559	opgH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
INPMIPDD_00311	CDS	672				hypothetical protein
INPMIPDD_00312	CDS	1944	mcpQ_1		COG0840	Methyl-accepting chemotaxis protein McpQ
INPMIPDD_00313	CDS	1917	mcpQ_2		COG0840	Methyl-accepting chemotaxis protein McpQ
INPMIPDD_00314	CDS	708				hypothetical protein
INPMIPDD_00315	CDS	801	tatC		COG0805	Sec-independent protein translocase protein TatC
INPMIPDD_00316	CDS	477	tatB		COG1826	Sec-independent protein translocase protein TatB
INPMIPDD_00317	CDS	276	tatA		COG1826	Sec-independent protein translocase protein TatA
INPMIPDD_00318	CDS	333	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
INPMIPDD_00319	CDS	393	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
INPMIPDD_00320	CDS	1620	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
INPMIPDD_00321	CDS	624	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
INPMIPDD_00322	CDS	771	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
INPMIPDD_00323	CDS	279				hypothetical protein
INPMIPDD_00324	CDS	732				hypothetical protein
INPMIPDD_00325	CDS	372				hypothetical protein
INPMIPDD_00326	CDS	1338	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
INPMIPDD_00327	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
INPMIPDD_00328	CDS	696	ftsN			Cell division protein FtsN
INPMIPDD_00329	CDS	1737	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
INPMIPDD_00330	CDS	2220	priA	3.6.4.-	COG1198	Primosomal protein N'
INPMIPDD_00331	CDS	222	rpmE		COG0254	50S ribosomal protein L31
INPMIPDD_00332	CDS	804				hypothetical protein
INPMIPDD_00333	CDS	1269	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
INPMIPDD_00334	CDS	2445	mrcA		COG5009	Penicillin-binding protein 1A
INPMIPDD_00335	CDS	1065	ftsA_1			Cell division protein FtsA
INPMIPDD_00336	CDS	582				hypothetical protein
INPMIPDD_00337	CDS	624				hypothetical protein
INPMIPDD_00338	CDS	528				hypothetical protein
INPMIPDD_00339	CDS	2106	pilQ			Type IV pilus biogenesis and competence protein PilQ
INPMIPDD_00340	CDS	492	aroK	2.7.1.71	COG0703	Shikimate kinase 1
INPMIPDD_00341	CDS	1104	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
INPMIPDD_00342	CDS	1617	damX			Cell division protein DamX
INPMIPDD_00343	CDS	4446	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
INPMIPDD_00344	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
INPMIPDD_00345	CDS	1548	gatA_1	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
INPMIPDD_00346	CDS	3261				hypothetical protein
INPMIPDD_00347	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
INPMIPDD_00348	CDS	1476	dan	3.5.1.81		D-aminoacylase
INPMIPDD_00349	CDS	861	hexR_1		COG1737	HTH-type transcriptional regulator HexR
INPMIPDD_00350	CDS	1350	gntT_1		COG2610	High-affinity gluconate transporter
INPMIPDD_00351	CDS	1137				hypothetical protein
INPMIPDD_00352	CDS	1269	ynfM			Inner membrane transport protein YnfM
INPMIPDD_00353	CDS	891	benM_1			HTH-type transcriptional regulator BenM
INPMIPDD_00354	CDS	843				hypothetical protein
INPMIPDD_00355	CDS	1227	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
INPMIPDD_00356	CDS	729	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
INPMIPDD_00357	CDS	456				hypothetical protein
INPMIPDD_00358	CDS	1197	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
INPMIPDD_00359	CDS	483				hypothetical protein
INPMIPDD_00360	CDS	735	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
INPMIPDD_00361	CDS	1248	ctcP	1.14.19.49		Tetracycline 7-halogenase
INPMIPDD_00362	CDS	2364				hypothetical protein
INPMIPDD_00363	CDS	615				hypothetical protein
