locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGBLIEJO_00043	CDS	414				hypothetical protein
MGBLIEJO_00044	CDS	771				hypothetical protein
MGBLIEJO_00045	CDS	927	rbsK_1	2.7.1.15		Ribokinase
MGBLIEJO_00046	CDS	1332	fucP		COG0738	L-fucose-proton symporter
MGBLIEJO_00047	CDS	1068				hypothetical protein
MGBLIEJO_00048	CDS	765	deoR		COG1349	Deoxyribose operon repressor
MGBLIEJO_00049	CDS	681	deoC2	4.1.2.4		Deoxyribose-phosphate aldolase 2
MGBLIEJO_00050	CDS	249				hypothetical protein
MGBLIEJO_00051	CDS	357				hypothetical protein
MGBLIEJO_00052	CDS	441				hypothetical protein
MGBLIEJO_00053	CDS	366				hypothetical protein
MGBLIEJO_00054	CDS	300				hypothetical protein
MGBLIEJO_00055	CDS	888	auaH	1.1.1.394		Aurachin B dehydrogenase
MGBLIEJO_00056	CDS	822				hypothetical protein
MGBLIEJO_00057	CDS	675	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
MGBLIEJO_00058	CDS	1137				hypothetical protein
MGBLIEJO_00059	CDS	564				hypothetical protein
MGBLIEJO_00060	CDS	249				hypothetical protein
MGBLIEJO_00061	CDS	471	decR_1		COG1522	DNA-binding transcriptional activator DecR
MGBLIEJO_00062	CDS	1155	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
MGBLIEJO_00063	CDS	825				hypothetical protein
MGBLIEJO_00064	CDS	708	tolQ_1		COG0811	Tol-Pal system protein TolQ
MGBLIEJO_00065	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
MGBLIEJO_00066	CDS	2826	btuB_1			Vitamin B12 transporter BtuB
MGBLIEJO_00067	CDS	1884	appA_1			Oligopeptide-binding protein AppA
MGBLIEJO_00068	CDS	1068	yejB_1		COG4174	Inner membrane ABC transporter permease protein YejB
MGBLIEJO_00069	CDS	1023	yejE_1		COG4239	Inner membrane ABC transporter permease protein YejE
MGBLIEJO_00070	CDS	1584	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
MGBLIEJO_00071	CDS	1497				hypothetical protein
MGBLIEJO_00072	CDS	1503	ppx	3.6.1.11	COG0248	Exopolyphosphatase
MGBLIEJO_00073	CDS	2211	ppk	2.7.4.1		Polyphosphate kinase
MGBLIEJO_00074	CDS	1011	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
MGBLIEJO_00075	CDS	663				hypothetical protein
MGBLIEJO_00076	CDS	669	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
MGBLIEJO_00077	CDS	1059				hypothetical protein
MGBLIEJO_00078	CDS	741	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
MGBLIEJO_00079	CDS	1533				hypothetical protein
MGBLIEJO_00080	CDS	651				hypothetical protein
MGBLIEJO_00081	CDS	495	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
MGBLIEJO_00082	CDS	633				hypothetical protein
MGBLIEJO_00083	CDS	900				hypothetical protein
MGBLIEJO_00084	CDS	774			COG1464	Membrane lipoprotein TpN32
MGBLIEJO_00085	CDS	675	metP_1		COG2011	Methionine import system permease protein MetP
MGBLIEJO_00086	CDS	1008	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MGBLIEJO_00087	CDS	2151	katE	1.11.1.6	COG0753	Catalase HPII
MGBLIEJO_00088	CDS	717				hypothetical protein
MGBLIEJO_00089	CDS	789	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MGBLIEJO_00090	CDS	786	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
MGBLIEJO_00091	CDS	483	zur		COG0735	Zinc uptake regulation protein
MGBLIEJO_00092	CDS	864	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
MGBLIEJO_00093	CDS	951	thrB_1	2.7.1.39	COG2334	Homoserine kinase
MGBLIEJO_00094	CDS	288				hypothetical protein
MGBLIEJO_00095	CDS	2766	polA	2.7.7.7	COG0258	DNA polymerase I
MGBLIEJO_00096	CDS	636	engB		COG0218	putative GTP-binding protein EngB
MGBLIEJO_00097	CDS	645	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
MGBLIEJO_00098	CDS	876				hypothetical protein
MGBLIEJO_00099	CDS	2070				hypothetical protein
MGBLIEJO_00100	CDS	780	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
MGBLIEJO_00101	CDS	1788	kinB	2.7.13.3	COG5000	Alginate biosynthesis sensor protein KinB
MGBLIEJO_00102	CDS	1347	algB		COG2204	Alginate biosynthesis transcriptional regulatory protein AlgB
MGBLIEJO_00103	CDS	840				hypothetical protein
MGBLIEJO_00104	CDS	288				hypothetical protein
MGBLIEJO_00105	CDS	165				hypothetical protein
MGBLIEJO_00106	CDS	468	ivy			Inhibitor of vertebrate lysozyme
MGBLIEJO_00107	CDS	1311	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
MGBLIEJO_00108	CDS	741	ompR_1			Transcriptional regulatory protein OmpR
MGBLIEJO_00109	CDS	2319	yhgF		COG2183	Protein YhgF
MGBLIEJO_00110	CDS	384	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
MGBLIEJO_00111	CDS	1593	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
MGBLIEJO_00112	CDS	1299	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
MGBLIEJO_00113	CDS	1149	argE_1	3.5.1.16		Acetylornithine deacetylase
MGBLIEJO_00114	CDS	1368				hypothetical protein
MGBLIEJO_00115	CDS	471	decR_2		COG1522	DNA-binding transcriptional activator DecR
MGBLIEJO_00116	CDS	348				hypothetical protein
MGBLIEJO_00117	CDS	1785				hypothetical protein
MGBLIEJO_00118	CDS	321				hypothetical protein
MGBLIEJO_00119	CDS	387	gcvH_1		COG0509	Glycine cleavage system H protein
MGBLIEJO_00120	CDS	1083	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
MGBLIEJO_00121	CDS	1617				hypothetical protein
MGBLIEJO_00122	CDS	1002			COG1840	putative binding protein component of ABC iron transporter
MGBLIEJO_00123	CDS	711				hypothetical protein
MGBLIEJO_00124	CDS	525				hypothetical protein
MGBLIEJO_00125	CDS	1932		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
MGBLIEJO_00126	CDS	324			COG3245	Cytochrome c5
MGBLIEJO_00127	CDS	600	puuR_1			HTH-type transcriptional regulator PuuR
MGBLIEJO_00128	CDS	1074	alr	5.1.1.1		Alanine racemase
MGBLIEJO_00129	CDS	354	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MGBLIEJO_00130	CDS	1302	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
MGBLIEJO_00131	CDS	489	lrp_1		COG1522	Leucine-responsive regulatory protein
MGBLIEJO_00132	CDS	354				hypothetical protein
MGBLIEJO_00133	CDS	1314	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MGBLIEJO_00134	CDS	252				hypothetical protein
MGBLIEJO_00135	CDS	1422	norG_1		COG1167	HTH-type transcriptional regulator NorG
MGBLIEJO_00136	CDS	1485	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
MGBLIEJO_00137	CDS	1149	ycaD_1			putative MFS-type transporter YcaD
MGBLIEJO_00138	CDS	1494	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
MGBLIEJO_00139	CDS	369				hypothetical protein
MGBLIEJO_00140	CDS	156	rpmG		COG0267	50S ribosomal protein L33
MGBLIEJO_00141	CDS	234	rpmB		COG0227	50S ribosomal protein L28
MGBLIEJO_00142	CDS	1587	dppA_1		COG0747	Periplasmic dipeptide transport protein
MGBLIEJO_00143	CDS	675				hypothetical protein
MGBLIEJO_00144	CDS	1248	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MGBLIEJO_00145	CDS	456	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
MGBLIEJO_00146	CDS	2586	glmM_1			Phosphoglucosamine mutase
MGBLIEJO_00147	CDS	906	argB	2.7.2.8	COG0548	Acetylglutamate kinase
MGBLIEJO_00148	CDS	633				hypothetical protein
MGBLIEJO_00149	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MGBLIEJO_00150	CDS	780	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
MGBLIEJO_00151	CDS	369				hypothetical protein
MGBLIEJO_00152	CDS	723	rph	2.7.7.56	COG0689	Ribonuclease PH
MGBLIEJO_00153	CDS	864				hypothetical protein
MGBLIEJO_00154	CDS	645	gmk	2.7.4.8	COG0194	Guanylate kinase
MGBLIEJO_00155	CDS	264	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
MGBLIEJO_00156	CDS	2106	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
MGBLIEJO_00157	CDS	381	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MGBLIEJO_00158	CDS	738				hypothetical protein
MGBLIEJO_00159	CDS	849				hypothetical protein
MGBLIEJO_00160	CDS	441				hypothetical protein
MGBLIEJO_00161	CDS	954	tolQ_2			Tol-Pal system protein TolQ
MGBLIEJO_00162	CDS	426	exbD_2		COG0848	Biopolymer transport protein ExbD
MGBLIEJO_00163	CDS	747				hypothetical protein
MGBLIEJO_00164	CDS	924	oxyR_1			Hydrogen peroxide-inducible genes activator
MGBLIEJO_00165	CDS	2076	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
MGBLIEJO_00166	CDS	1398				hypothetical protein
MGBLIEJO_00167	CDS	402				hypothetical protein
MGBLIEJO_00168	CDS	1308	citN_1		COG2851	Citrate transporter
MGBLIEJO_00169	CDS	621	comM_1		COG0606	Competence protein ComM
MGBLIEJO_00170	CDS	693				hypothetical protein
MGBLIEJO_00171	CDS	1923				hypothetical protein
MGBLIEJO_00172	CDS	888				hypothetical protein
MGBLIEJO_00173	CDS	1014				hypothetical protein
MGBLIEJO_00174	CDS	1443				hypothetical protein
MGBLIEJO_00175	CDS	345				hypothetical protein
MGBLIEJO_00176	CDS	537				hypothetical protein
MGBLIEJO_00177	CDS	1419				hypothetical protein
MGBLIEJO_00178	CDS	294				hypothetical protein
MGBLIEJO_00179	CDS	762				hypothetical protein
MGBLIEJO_00180	CDS	576				hypothetical protein
MGBLIEJO_00181	CDS	957				hypothetical protein
MGBLIEJO_00182	CDS	648				hypothetical protein
MGBLIEJO_00183	CDS	1335	uvrD_1	3.6.4.12	COG0210	DNA helicase II
MGBLIEJO_00184	CDS	1797				hypothetical protein
MGBLIEJO_00185	CDS	1572				hypothetical protein
MGBLIEJO_00186	CDS	237				hypothetical protein
MGBLIEJO_00187	CDS	318				hypothetical protein
MGBLIEJO_00188	CDS	726				hypothetical protein
MGBLIEJO_00189	CDS	312				hypothetical protein
MGBLIEJO_00190	CDS	507				hypothetical protein
MGBLIEJO_00191	CDS	744				hypothetical protein
MGBLIEJO_00192	CDS	534				hypothetical protein
MGBLIEJO_00193	CDS	1317				hypothetical protein
MGBLIEJO_00194	CDS	1911				hypothetical protein
MGBLIEJO_00195	CDS	564				hypothetical protein
MGBLIEJO_00196	CDS	516				hypothetical protein
MGBLIEJO_00197	CDS	1185				hypothetical protein
MGBLIEJO_00198	CDS	1638				hypothetical protein
MGBLIEJO_00199	CDS	3111				hypothetical protein
MGBLIEJO_00200	CDS	603				hypothetical protein
MGBLIEJO_00201	CDS	864	comM_2		COG0606	Competence protein ComM
MGBLIEJO_00202	CDS	543	mshD_1	2.3.1.189		Mycothiol acetyltransferase
MGBLIEJO_00203	CDS	735		1.-.-.-		putative oxidoreductase
MGBLIEJO_00204	CDS	918	pchR		COG2207	Regulatory protein PchR
MGBLIEJO_00205	CDS	618				hypothetical protein
MGBLIEJO_00206	CDS	276	ubiK			Ubiquinone biosynthesis accessory factor UbiK
MGBLIEJO_00207	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
MGBLIEJO_00208	CDS	1338	amtB			Ammonia channel
MGBLIEJO_00209	CDS	453				hypothetical protein
MGBLIEJO_00210	CDS	327	sutA			Transcriptional regulator SutA
MGBLIEJO_00211	CDS	693	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
MGBLIEJO_00212	CDS	900	xerC_1		COG4973	Tyrosine recombinase XerC
MGBLIEJO_00213	CDS	735				hypothetical protein
MGBLIEJO_00214	CDS	831	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
MGBLIEJO_00215	CDS	1248	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
MGBLIEJO_00216	CDS	147	lppL		COG5567	Lipopeptide
MGBLIEJO_00217	CDS	333	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
MGBLIEJO_00218	CDS	408	rnk		COG0782	Regulator of nucleoside diphosphate kinase
MGBLIEJO_00219	CDS	2847	cyaA	4.6.1.1	COG3072	Adenylate cyclase
MGBLIEJO_00220	CDS	249				hypothetical protein
MGBLIEJO_00221	CDS	276				hypothetical protein
MGBLIEJO_00222	CDS	666		2.5.1.18		Glutathione S-transferase
MGBLIEJO_00223	CDS	1332	gltP		COG1301	Proton/glutamate-aspartate symporter
MGBLIEJO_00224	CDS	906	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
MGBLIEJO_00225	CDS	477				hypothetical protein
MGBLIEJO_00226	CDS	783	bluF			Blue light- and temperature-regulated antirepressor BluF
MGBLIEJO_00227	CDS	408	hslR		COG1188	Heat shock protein 15
MGBLIEJO_00228	CDS	903	hslO		COG1281	33 kDa chaperonin
MGBLIEJO_00229	CDS	1545	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
MGBLIEJO_00230	CDS	513				hypothetical protein
MGBLIEJO_00231	CDS	702				hypothetical protein
MGBLIEJO_00232	CDS	708				hypothetical protein
MGBLIEJO_00233	CDS	708				hypothetical protein
MGBLIEJO_00234	CDS	450				hypothetical protein
MGBLIEJO_00235	CDS	714				hypothetical protein
MGBLIEJO_00236	CDS	858				hypothetical protein
MGBLIEJO_00237	CDS	669				hypothetical protein
MGBLIEJO_00238	CDS	1296	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MGBLIEJO_00239	CDS	1638	gsiB		COG0747	Glutathione-binding protein GsiB
MGBLIEJO_00240	CDS	957	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
MGBLIEJO_00241	CDS	879	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
MGBLIEJO_00242	CDS	1842	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
MGBLIEJO_00243	CDS	312				hypothetical protein
MGBLIEJO_00244	CDS	1410	hcnB_1	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
MGBLIEJO_00245	CDS	1170	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
MGBLIEJO_00246	CDS	1158	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
MGBLIEJO_00247	CDS	1458	davD_2	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
MGBLIEJO_00248	CDS	930	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
MGBLIEJO_00249	CDS	1305	gabT_1	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
MGBLIEJO_00250	CDS	657				hypothetical protein
MGBLIEJO_00251	CDS	489	lrp_2		COG1522	Leucine-responsive regulatory protein
MGBLIEJO_00252	CDS	735	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MGBLIEJO_00253	CDS	648	yecS_1		COG0765	L-cystine transport system permease protein YecS
MGBLIEJO_00254	CDS	666	yecS_2		COG0765	L-cystine transport system permease protein YecS
MGBLIEJO_00255	CDS	786	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
MGBLIEJO_00256	CDS	705	nanR_1			HTH-type transcriptional repressor NanR
MGBLIEJO_00257	CDS	330	trxA		COG0526	Thioredoxin 1
MGBLIEJO_00258	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
MGBLIEJO_00259	CDS	1467	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
MGBLIEJO_00260	CDS	969	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
MGBLIEJO_00261	CDS	669	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
MGBLIEJO_00262	CDS	1350	glpT		COG2271	Glycerol-3-phosphate transporter
MGBLIEJO_00263	CDS	666				hypothetical protein
MGBLIEJO_00264	CDS	636				hypothetical protein
MGBLIEJO_00265	CDS	984	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
MGBLIEJO_00266	CDS	408				hypothetical protein
MGBLIEJO_00267	CDS	450				hypothetical protein
MGBLIEJO_00268	CDS	153				hypothetical protein
MGBLIEJO_00269	CDS	612	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
MGBLIEJO_00270	CDS	330	zapA		COG3027	Cell division protein ZapA
MGBLIEJO_00271	CDS	210				hypothetical protein
MGBLIEJO_00272	CDS	555				hypothetical protein
MGBLIEJO_00273	CDS	1335	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
MGBLIEJO_00274	CDS	1188	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
MGBLIEJO_00275	CDS	1191	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
MGBLIEJO_00276	CDS	993	virS			HTH-type transcriptional regulator VirS
MGBLIEJO_00277	CDS	240				hypothetical protein
MGBLIEJO_00278	CDS	1311	exuT_1			Hexuronate transporter
MGBLIEJO_00279	CDS	582				hypothetical protein
MGBLIEJO_00280	CDS	951	sfnR_1		COG1221	Sigma54-dependent transcriptional activator SfnR
MGBLIEJO_00281	CDS	783	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
MGBLIEJO_00282	CDS	279				hypothetical protein
MGBLIEJO_00283	CDS	1254				hypothetical protein
MGBLIEJO_00284	CDS	1227				hypothetical protein
MGBLIEJO_00285	CDS	618				hypothetical protein
MGBLIEJO_00286	CDS	618				hypothetical protein
MGBLIEJO_00287	CDS	618				hypothetical protein
MGBLIEJO_00288	CDS	1368				hypothetical protein
MGBLIEJO_00289	CDS	3180				hypothetical protein
MGBLIEJO_00290	CDS	897	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
MGBLIEJO_00291	CDS	882	cmpD_1	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
MGBLIEJO_00292	CDS	867				hypothetical protein
MGBLIEJO_00293	CDS	1020				hypothetical protein
MGBLIEJO_00294	CDS	252				hypothetical protein
MGBLIEJO_00295	CDS	216				hypothetical protein
MGBLIEJO_00296	CDS	948				hypothetical protein
MGBLIEJO_00297	CDS	1059				hypothetical protein
MGBLIEJO_00298	CDS	207				hypothetical protein
MGBLIEJO_00299	CDS	174				hypothetical protein
MGBLIEJO_00300	CDS	1119	mdtE			Multidrug resistance protein MdtE
MGBLIEJO_00301	CDS	1086	mdtA_1			Multidrug resistance protein MdtA
MGBLIEJO_00302	CDS	3102	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
MGBLIEJO_00303	CDS	624	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
MGBLIEJO_00304	CDS	645	metP_2		COG2011	Methionine import system permease protein MetP
MGBLIEJO_00305	CDS	1131	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MGBLIEJO_00306	CDS	789	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
MGBLIEJO_00307	CDS	1359	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
MGBLIEJO_00308	CDS	1206	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
MGBLIEJO_00309	CDS	1323	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
MGBLIEJO_00310	CDS	720				hypothetical protein
MGBLIEJO_00311	CDS	744	tcyC_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
MGBLIEJO_00312	CDS	669	yecS_3		COG0765	L-cystine transport system permease protein YecS
MGBLIEJO_00313	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
MGBLIEJO_00314	CDS	999	dcyD_1	4.4.1.15	COG2515	D-cysteine desulfhydrase
MGBLIEJO_00315	CDS	954				hypothetical protein
MGBLIEJO_00316	CDS	708				hypothetical protein
MGBLIEJO_00317	CDS	567	sigK		COG1595	ECF RNA polymerase sigma factor SigK
MGBLIEJO_00318	CDS	534				hypothetical protein
MGBLIEJO_00319	CDS	1176	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
MGBLIEJO_00320	CDS	597	ves			Protein Ves
MGBLIEJO_00321	CDS	822				hypothetical protein
MGBLIEJO_00322	CDS	1365		3.5.4.32	COG0402	8-oxoguanine deaminase
MGBLIEJO_00323	CDS	543	blc		COG3040	Outer membrane lipoprotein Blc
MGBLIEJO_00324	CDS	255				hypothetical protein
MGBLIEJO_00325	CDS	1011	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
MGBLIEJO_00326	CDS	1350				hypothetical protein
MGBLIEJO_00327	CDS	2814				hypothetical protein
MGBLIEJO_00328	CDS	2451	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
MGBLIEJO_00329	CDS	972	pip	3.4.11.5		Proline iminopeptidase
MGBLIEJO_00330	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
MGBLIEJO_00331	CDS	1944	mdoG			Glucans biosynthesis protein G
MGBLIEJO_00332	CDS	2559	opgH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
MGBLIEJO_00333	CDS	639				hypothetical protein
MGBLIEJO_00334	CDS	702				hypothetical protein
MGBLIEJO_00335	CDS	309				hypothetical protein
MGBLIEJO_00336	CDS	1944	mcpQ_1		COG0840	Methyl-accepting chemotaxis protein McpQ
MGBLIEJO_00337	CDS	1917	mcpQ_2		COG0840	Methyl-accepting chemotaxis protein McpQ
MGBLIEJO_00338	CDS	708				hypothetical protein
MGBLIEJO_00339	CDS	801	tatC		COG0805	Sec-independent protein translocase protein TatC
MGBLIEJO_00340	CDS	477	tatB		COG1826	Sec-independent protein translocase protein TatB
MGBLIEJO_00341	CDS	276	tatA		COG1826	Sec-independent protein translocase protein TatA
MGBLIEJO_00342	CDS	333	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
MGBLIEJO_00343	CDS	393	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
MGBLIEJO_00344	CDS	1620	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
MGBLIEJO_00345	CDS	624	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
MGBLIEJO_00346	CDS	771	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
MGBLIEJO_00347	CDS	279				hypothetical protein
MGBLIEJO_00348	CDS	732				hypothetical protein
MGBLIEJO_00349	CDS	372				hypothetical protein
MGBLIEJO_00350	CDS	1338	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
MGBLIEJO_00351	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
MGBLIEJO_00352	CDS	696	ftsN			Cell division protein FtsN
MGBLIEJO_00353	CDS	1737	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MGBLIEJO_00354	CDS	2220	priA	3.6.4.-	COG1198	Primosomal protein N'
MGBLIEJO_00355	CDS	222	rpmE		COG0254	50S ribosomal protein L31
MGBLIEJO_00356	CDS	804				hypothetical protein
MGBLIEJO_00357	CDS	1269	maeB	1.1.1.40	COG0281	NADP-dependent malic enzyme
MGBLIEJO_00358	CDS	2445	mrcA		COG5009	Penicillin-binding protein 1A
MGBLIEJO_00359	CDS	1065	ftsA_1			Cell division protein FtsA
MGBLIEJO_00360	CDS	582				hypothetical protein
MGBLIEJO_00361	CDS	624				hypothetical protein
MGBLIEJO_00362	CDS	528				hypothetical protein
MGBLIEJO_00363	CDS	2136	pilQ			Type IV pilus biogenesis and competence protein PilQ
MGBLIEJO_00364	CDS	492	aroK	2.7.1.71	COG0703	Shikimate kinase 1
MGBLIEJO_00365	CDS	1116	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
MGBLIEJO_00366	CDS	1617	damX			Cell division protein DamX
MGBLIEJO_00367	CDS	4446	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
MGBLIEJO_00368	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
